Course,Home Fee,Overseas Fee,Level
MSc Accounting and Finance,26976,27504,Postgraduate
"MSc Accounting, Organisations and Institutions",26976,27504,Postgraduate
MSc A frican Development,13536,20904,Postgraduate
MSc Anthropology and Development,13536,20904,Postgraduate
MSc Anthropology and Development Management,20904,20904,Postgraduate
MSc Applicable Mathematics,13536,20904,Postgraduate
MSc Applied Social Data Science,26976,27504,Postgraduate
MSc China in Comparative Perspective,13536,20904,Postgraduate
MSc City Design and Social Science,26976,27504,Postgraduate
MSc Comparative Politics (All streams),20904,20904,Postgraduate
MSc Conflict Studies,20904,20904,Postgraduate
MSc Criminal Justice Policy,10728,20904,Postgraduate
MSc Culture and Society,13536,20904,Postgraduate
MSc Data Science,26976,27504,Postgraduate
MSc Development Management,20904,20904,Postgraduate
MSc Development Studies,13536,20904,Postgraduate
MSc Econometrics and Mathematical Economics,26976,27504,Postgraduate
MSc Economic History (Both streams),13536,20904,Postgraduate
MSc Economics,26976,27504,Postgraduate
MSc Economics (Two Year Programme),,,Postgraduate
MSc Economics and Management,26976,27504,Postgraduate
MSc Economics and Philosophy,20904,20904,Postgraduate
"MSc Economy, Risk and Society",13536,20904,Postgraduate
"MSc Empires, Colonialisation and Globalisation",13536,20904,Postgraduate
MSc Environment and Development,13536,20904,Postgraduate
MSc Environmental Economics and Climate Change,13536,20904,Postgraduate
MSc Environmental Policy and Regulation,13536,20904,Postgraduate
MSc EU Politics,20904,20904,Postgraduate
MSc European Studies (Research),20904,20904,Postgraduate
MSc Finance (Full Time),34200,34200,Postgraduate
MSc Finance and Economics,26976,27504,Postgraduate
MSc Finance and Private Equity,34200,34200,Postgraduate
MSc Financial Mathematics,26976,27504,Postgraduate
MSc Gender (All streams),13536,20904,Postgraduate
"MSc Gender, Development and Globalisation",13536,20904,Postgraduate
"MSc Gender, Media and Culture",13536,20904,Postgraduate
"MSc Gender, Policy and Inequalities",13536,20904,Postgraduate
MSc Global Europe: Culture and Conflict,20904,20904,Postgraduate
MSc Global Health,17384,24440,Postgraduate
MSc Global Media and Communications,,,Postgraduate
MSc Global Population Health,13536,20904,Postgraduate
Global MSc Management,,,Postgraduate
MSc Global Politics,22440,22440,Postgraduate
MSc Health and International Development,13536,20904,Postgraduate
"MSc Health Policy, Planning and Financing",,,Postgraduate
MSc History of International Relations,13536,20904,Postgraduate
MSc Human Geography and Urban Studies (Research),13536,20904,Postgraduate
MSc Human Resources and Organisations,22440,22440,Postgraduate
MSc Human Resources and Organisations (HRM Specialism),23448,23448,Postgraduate
