"1
Undergraduate Programmes",,,,,,,,,
,Full time,,,,,,,,
,Home,"Overseas
(including EU)",,,,,,,
Undergraduate first degree - New entrants in 2021/22,,,,,,,,,
"Home students (does not include EU students) commencing their
degree in 2021","£9,250 2",,,,,,,,
"Overseas students (includes EU students) commencing their degree in
2021",,"£22,430 3",,,,,,,
,Full time,,,,,,,,
,Home/EU,Overseas,,,,,,,
"Undergraduate first degree - For students who started in 2020/21
or earlier",,,,,,,,,
"Home/EU students who commenced their degree between 2017 and
2020","£9,250",,,,,,,,
"Home/EU students who commenced their degree between 2014 and
2016","£9,000",,,,,,,,
"Overseas students (does not include EU students) who commenced
their degree in 2020",,"£21,570",,,,,,,
"Overseas students (does not include EU students) who commenced
their degree in years up to 2019",,"£21,528",,,,,,,
General Course,"£22,200","£22,200",,,,,,,
A,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
Diploma in Accounting and Finance,"£26,904","£26,904",,,,,,,
MSc in Accounting and Finance,"£30,360","£30,960",,,,,,,
"MSc in Accounting, Organisations and Institutions","£30,360","£30,960",,,,,,,
MSc in Anthropology and Development,"£15,216","£23,520",,,,,,,
MSc in Anthropology and Development Management,"£23,520","£23,520",,,,,,,
MSc in Applicable Mathematics,"£15,216","£23,520",,,,,,,
MSc in Applied Social Data Science,"£30,360","£30,960",,,,,,,
B,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Behavioural Science,"£23,520","£23,520",,,,,,,
C,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in China in Comparative Perspective,"£15,216","£23,520",,,,,,,
MSc in City Design and Social Science,"£30,360","£30,960",,,,,,,
MSc in Comparative Politics (All streams),"£23,520","£23,520",,,,,,,
MSc in Conflict Studies,"£23,520","£23,520",,,,,,,
MSc in Criminal Justice Policy,"£15,216","£23,520",,,,,,,
MSc in Culture and Conflict in a Global Europe,"£23,520","£23,520",,,,,,,
MSc in Culture and Society,"£15,216","£23,520",,,,,,,
D,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Data Science,"£30,360","£30,960",,,,,,,
MSc in Development Management,"£23,520","£23,520",,,,,,,
MSc in Development Studies (All streams),"£15,216","£23,520",,,,,,,
E,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
MSc in Econometrics and Mathematical Economics,"£30,360","£30,960",,,,,,,
MSc in Economic History (Both streams),"£15,216","£23,520",,,,,,,
MSc in Economics,"£30,360","£30,960",,,,,,,
MSc in Economics (Two Year Programme),"See Two Year Programme
Section",,,,,,,,
MSc in Economics and Management,"£30,360","£30,960",,,,,,,
MSc in Economics and Philosophy,"£23,520","£23,520",,,,,,,
"MSc in Economy, Risk and Society","£15,216","£23,520",,,,,,,
"MSc in Empires, Colonialism and Globalisation","£15,216","£23,520",,,,,,,
MSc in Environment and Development,"£17,328","£25,224",,,,,,,
MSc in Environmental Economics and Climate Change,"£19,368","£26,904",,,,,,,
MSc in Environmental Policy and Regulation,"£15,216","£23,520",,,,,,,
MSc in European and International Public Policy,"£23,520","£23,520",,,,,,,
MSc in European Studies (Research),"£23,520","£23,520",,,,,,,
F,Full time,Part time,,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Finance (Full Time),"£38,448","£38,448",,,,,,,
MSc in Finance and Economics,"£30,360","£30,960",,,,,,,
MSc in Finance and Private Equity,"£38,448","£38,448",,,,,,,
MSc in Financial Mathematics,"£30,360","£30,960",,,,,,,
G,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Gender (All streams),"£15,216","£23,520",,,,,,,
"MSc in Gender, Development and Globalisation","£15,216","£23,520",,,,,,,
"MSc in Gender, Media and Culture","£15,216","£23,520",,,,,,,
"MSc in Gender, Peace and Security","£15,216","£23,520",,,,,,,
"MSc in Gender, Policy and Inequalities","£15,216","£23,520",,,,,,,
MSc in Geographic Data Science,"£23,520","£23,520",,,,,,,
MSc in Global Health Policy,"£19,328","£27,224",,,,,,,
Global MSc in Management,"See Two Year Programme
Section",,,,,,,,
MSc in Global Politics,"£25,224","£25,224",,,,,,,
MSc in the Global Political Economy of China and Europe,"£23,520","£23,520",,,,,,,
H,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MA in Modern History,"£15,216","£23,520",,,,,,,
MSc in Health and International Development,"£15,216","£23,520",,,,,,,
MSc in Health Data Science,"£23,520","£23,520",,,,,,,
"MSc in Health Policy, Planning and Financing","See How to Apply on the London School of Hygiene & Tropical Medicine
website",,,,,,,,
MSc in History of International Relations,"£15,216","£23,520",,,,,,,
MSc in Human Geography and Urban Studies (Research),"£15,216","£23,520",,,,,,,
MSc in Human Resources and Organisations,"£25,224","£25,224",,,,,,,
MSc in Human Resources and Organisations (HRM/CIPD Specialism),"£26,232","£26,232",,,,,,,
MSc in Human Rights,"£17,328","£25,224",,,,,,,
MSc in Human Rights and Politics,"£17,328","£25,224",,,,,,,
I,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
MSc in Inequalities and Social Science,"£15,216","£23,520",,,,,,,
,"£15,216","£23,520",,,,,,,
MSc in International Development and Humanitarian Emergencies,"£15,216","£23,520",,,,,,,
MSc in International Health Policy,"£18,336","£26,232",,,,,,,
MSc in International Migration and Public Policy,"£23,520","£23,520",,,,,,,
MSc in International Political Economy (Both streams),"£25,224","£25,224",,,,,,,
MSc in International Relations (Both streams),"£25,224","£25,224",,,,,,,
MSc in International Social and Public Policy (All streams) 5,"£15,416","£23,720",,,,,,,
L,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
LLM,"£17,328","£25,224",,,,,,,
MSc in Local Economic Development,"£15,216","£23,520",,,,,,,
M,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Management (12-Month Programme) 6,"£33,360","£33,360",,,,,,,
MSc in Management and Strategy,"£30,360","£30,960",,,,,,,
MSc in Management of Information Systems and Digital Innovation,"£30,360","£30,960",,,,,,,
MSc in Marketing,"£30,360","£30,960",,,,,,,
MSc in Media and Communications (All streams),"£23,520","£23,520",,,,,,,
"MSc in Media, Communication and Development","£23,520","£23,520",,,,,,,
O,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
MSc in Operations Research and Analytics,"£25,224","£25,224",,,,,,,
MSc in Organisational and Social Psychology,"£23,520","£23,520",,,,,,,
