Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023,Acceptance Rate 2019,Entrance Rate 2019,Acceptance Rate 2020,Entrance Rate 2020,Acceptance Rate 2021,Entrance Rate 2021,Acceptance Rate 2022,Entrance Rate 2022,Acceptance Rate 2023,Entrance Rate 2023
Austrian,Accounting  ,UG Degree,7.0,0.0,0.0,6.0,0.0,0.0,2.5,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Austrian,Accounting  ,PG Taught,8.0,2.5,2.5,5.0,2.5,0.0,5.0,2.5,0.0,10.0,2.5,2.5,2.5,2.5,2.5,0.3125,1.0,0.5,0.0,0.5,0.0,0.25,1.0,1.0,1.0
Austrian,Anthropology  ,UG Degree,2.5,2.5,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,,
Austrian,Anthropology  ,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,,0.0,,,
Austrian,Economic  History ,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,0.5,1.0,0.0,,,,1.0,1.0,0.0,
Austrian,Economic  History ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0
Austrian,Economics  ,UG Degree,16.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,9.0,2.5,0.0,0.0,,0.0,,0.0,,0.0,,0.2777777777777778,0.0
Austrian,Economics  ,PG Taught,12.0,7.0,2.5,9.0,6.0,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5833333333333334,0.35714285714285715,0.6666666666666666,0.4166666666666667,0.35714285714285715,1.0,1.0,1.0,1.0,1.0
Austrian,European In.. ,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,0.22727272727272727,2.0,0.7142857142857143,0.5,0.5833333333333334,0.35714285714285715,0.6,0.2777777777777778,0.35714285714285715,1.0
Austrian,Finance  ,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,0.5,0.0,0.0,,0.4166666666666667,1.0,0.5,1.0,0.5,0.5
Austrian,Finance  ,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,0.125,1.0,0.3333333333333333,0.4166666666666667,0.4090909090909091,0.2777777777777778,0.42857142857142855,0.20833333333333334,0.19230769230769232,1.0
Austrian,Gender Stud.. ,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,,,1.0,1.0,0.0,,0.0,,1.0,1.0
Austrian,Geography  and Environ.. ,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,0.0
Austrian,Geography  and Environ.. ,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,0.19230769230769232,1.0,0.35714285714285715,1.0,0.3125,1.0,0.21428571428571427,0.4166666666666667,0.35,0.7142857142857143
Austrian,Government  ,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.20833333333333334,0.0,0.25,1.0,0.0,,0.0,,0.0,
Austrian,Government  ,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,0.25,0.0,0.25,1.0,0.3125,1.0,0.5,1.0,0.6923076923076923,0.2777777777777778
Austrian,Health Policy ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,,
Austrian,International.. ,PG Taught,9.0,2.5,2.5,6.0,2.5,2.5,11.0,5.0,2.5,12.0,8.0,5.0,9.0,2.5,2.5,0.2777777777777778,1.0,0.4166666666666667,1.0,0.45454545454545453,0.5,0.6666666666666666,0.625,0.2777777777777778,1.0
Austrian,International  History ,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,,,,,,,1.0,0.0,1.0,0.0
Austrian,International  History ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,
Austrian,International  Relations ,UG Degree,10.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Austrian,International  Relations ,PG Taught,20.0,9.0,8.0,9.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,9.0,5.0,0.0,0.45,0.8888888888888888,0.2777777777777778,1.0,0.2777777777777778,1.0,1.0,0.0,0.5555555555555556,0.0
Austrian,Language C.. ,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,,,0.0,,,,,,1.0,0.0
Austrian,Law School  ,UG Degree,8.0,0.0,0.0,9.0,2.5,2.5,6.0,0.0,0.0,8.0,0.0,0.0,2.5,0.0,0.0,0.0,,0.2777777777777778,1.0,0.0,,0.0,,0.0,
Austrian,Law School  ,PG Taught,16.0,9.0,7.0,13.0,6.0,2.5,12.0,6.0,2.5,13.0,2.5,2.5,10.0,6.0,2.5,0.5625,0.7777777777777778,0.46153846153846156,0.4166666666666667,0.5,0.4166666666666667,0.19230769230769232,1.0,0.6,0.4166666666666667
Austrian,Management  ,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,0.15625,1.0,0.22727272727272727,1.0,0.17857142857142858,0.0,0.3125,1.0,0.0,
Austrian,Management  ,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,0.4230769230769231,0.45454545454545453,0.4782608695652174,0.22727272727272727,0.2857142857142857,0.4166666666666667,0.36363636363636365,0.3125,0.5625,0.2777777777777778
Austrian,Mathematics  ,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,,,,0.0,,,,0.0,
Austrian,Mathematics  ,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,0.0,,0.0,,,,0.0,,1.0,1.0
Austrian,Media and C.. ,PG Taught,6.0,2.5,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.4166666666666667,1.0,0.35714285714285715,1.0,1.0,1.0,0.0,,1.0,0.0
Austrian,Methodology ,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0,1.0,,
Austrian,"Philosophy,  Logic and S.. ",UG Degree,16.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,8.0,2.5,2.5,7.0,0.0,0.0,0.0,,0.0,,0.0,,0.3125,1.0,0.0,
Austrian,"Philosophy,  Logic and S.. ",PG Taught,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,6.0,2.5,0.0,2.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,
Austrian,Psychological  and Behavio.. ,UG Degree,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,,,1.0,1.0,0.0,,0.0,,0.0,
Austrian,Psychological  and Behavio.. ,PG Taught,13.0,2.5,0.0,13.0,6.0,2.5,9.0,2.5,0.0,10.0,2.5,2.5,7.0,2.5,2.5,0.19230769230769232,0.0,0.46153846153846156,0.4166666666666667,0.2777777777777778,0.0,0.25,1.0,0.35714285714285715,1.0
Austrian,School of Pu.. ,PG Taught,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,7.0,2.5,2.5,1.0,1.0,1.0,0.0,,,0.0,,0.35714285714285715,1.0
Austrian,Social Policy  ,UG Degree,5.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.5,0.0,,,0.0,,0.0,,0.0,
Austrian,Social Policy  ,PG Taught,2.5,2.5,2.5,5.0,2.5,2.5,2.5,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,,0.4166666666666667,1.0
Austrian,Sociology  ,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,
Austrian,Sociology  ,PG Taught,2.5,2.5,2.5,9.0,5.0,0.0,2.5,2.5,0.0,6.0,2.5,2.5,2.5,2.5,2.5,1.0,1.0,0.5555555555555556,0.0,1.0,0.0,0.4166666666666667,1.0,1.0,1.0
Austrian,Statistics  ,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,
Austrian,Statistics  ,PG Taught,2.5,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,7.0,2.5,2.5,2.5,0.0,0.0,0.0,,1.0,1.0,0.0,,0.35714285714285715,1.0,0.0,
Belgian,Accounting  ,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,5.0,2.5,0.0,2.5,0.0,0.0,0.0,,0.0,,0.0,,0.5,0.0,0.0,
Belgian,Accounting  ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Belgian,Anthropology  ,UG Degree,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,,,
Belgian,Anthropology  ,PG Taught,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0
Belgian,Economic  History ,UG Degree,2.5,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,
Belgian,Economic  History ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,0.0,2.5,2.5,2.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Belgian,Economics  ,UG Degree,8.0,2.5,0.0,7.0,0.0,0.0,6.0,0.0,0.0,8.0,2.5,0.0,8.0,0.0,0.0,0.3125,0.0,0.0,,0.0,,0.3125,0.0,0.0,
Belgian,Economics  ,PG Taught,5.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,6.0,2.5,2.5,2.5,2.5,2.5,0.5,1.0,0.0,,1.0,0.0,0.4166666666666667,1.0,1.0,1.0
Belgian,European In.. ,PG Taught,9.0,2.5,2.5,7.0,2.5,2.5,10.0,6.0,5.0,10.0,6.0,5.0,7.0,5.0,2.5,0.2777777777777778,1.0,0.35714285714285715,1.0,0.6,0.8333333333333334,0.6,0.8333333333333334,0.7142857142857143,0.5
Belgian,Finance  ,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,7.0,2.5,2.5,5.0,2.5,0.0,2.5,2.5,2.5,0.0,,0.0,,0.35714285714285715,1.0,0.5,0.0,1.0,1.0
Belgian,Finance  ,PG Taught,14.0,2.5,2.5,14.0,2.5,2.5,17.0,2.5,2.5,10.0,2.5,0.0,17.0,0.0,0.0,0.17857142857142858,1.0,0.17857142857142858,1.0,0.14705882352941177,1.0,0.25,0.0,0.0,
