Undergraduate programmes,,,,
,Full time,,Repeat Fees 1,
,Home/ EU,Overseas,Per Full Unit,Per Half Unit
Undergraduate first degree,,,,
Students commencing their degree in 2018 (New entrants),"£9,250","£19,152",N/A,N/A
Students who commenced their degree in 2017,"£9,250","£19,152","£1,125",£562.50
Students who commenced their degree between 2014 and 2016,"£9,000","£19,152","£1,125",£562.50
Students who commenced their degree between 2012 and 2013,"£8,500","£19,152","£1,125",£562.50
,,,,
General Course,"£19,728","£19,728",N/A,N/A
MPhil/ MRes/ PhD programmes,,,,
,Full time,,Part time,
,Home/ EU 2,Overseas,Home/ EU,Overseas
Old MPhil/PhD Structure (students starting prior to 2013/14),,,,
MPhil/ PhD (second year),"£4,260","£17,904","£2,130","£8,952"
MPhil/ PhD (third year),"£3,195","£13,416","£1,598","£6,708"
MPhil/ PhD (continuation fee),£720,£720,£720,£720
New MPhil/PhD structure (students starting from 2013/14),,,,
MPhil/ PhD (first year),"£4,260","£17,904","£2,130","£8,952"
MPhil/ PhD (second year),"£4,260","£17,904","£2,130","£8,952"
MPhil/ PhD (third year),"£4,260","£17,904","£2,130","£8,952"
MPhil/ PhD (fourth year),£0,£0,"£2,130","£8,952"
MPhil/PhD (exceptional registration beyond the fourth year),"£4,260","£17,904","£2,130","£8,952"
MRes/PhD (1 + 4) structure (students starting from 2015/16),,,,
MRes (first year),"£4,260","£17,904","£2,130","£8,952"
PhD (first year),"£4,260","£17,904","£2,130","£8,952"
PhD (second year),"£4,260","£17,904","£2,130","£8,952"
PhD (third year),"£4,260","£17,904","£2,130","£8,952"
PhD (fourth year),£0,£0,"£2,130","£8,952"
PhD (exceptional registration beyond the fourth year),"£4,260","£17,904","£2,130","£8,952"
MRes/PhD (2 + 4) structure (student starting from 2015/16),,,,
MRes (first year),"£4,260","£17,904","£2,130","£8,952"
MRes (second year),"£4,260","£17,904","£2,130","£8,952"
PhD (first year),"£4,260","£17,904","£2,130","£8,952"
PhD (second year),"£4,260","£17,904","£2,130","£8,952"
PhD (third year),"£4,260","£17,904","£2,130","£8,952"
PhD (fourth year),£0,£0,"£2,130","£8,952"
PhD (exceptional registration beyond the fourth year),"£4,260","£17,904","£2,130","£8,952"
,,,,
,Full time,,Per term,
,Home/ EU,Overseas,Home/ EU,Overseas
Visiting research students,"£10,824","£20,904","£3,608","£6,968"
A,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
Diploma in Accounting and Finance,"£23,928","£23,928",N/A,N/A
MSc in Accounting and Finance,"£26,976","£27,504","£13,488","£13,752"
"MSc in Accounting, Organisations and Institutions","£26,976","£27,504",N/A,N/A
LSE-Sciences Po Double Degree in Affaires Internationales and International Relations/ International,See Double Degrees Section,,N/A,N/A
MSc in A frican Development,"£13,536","£20,904","£6,768","£10,452"
MSc in Anthropology and Development,"£13,536","£20,904","£6,768","£10,452"
MSc in Anthropology and Development Management,"£20,904","£20,904","£10,452","£10,452"
MSc in Applicable Mathematics,"£13,536","£20,904",N/A,N/A
MSc in Applied Social Data Science,"£26,976","£27,504",N/A,N/A
C,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in China in Comparative Perspective,"£13,536","£20,904",N/A,N/A
MSc in City Design and Social Science,"£26,976","£27,504","£13,488","£13,752"
MSc in Comparative Politics (All streams),"£20,904","£20,904","£10,452","£10,452"
MSc in Conflict Studies,"£20,904","£20,904","£10,452","£10,452"
MSc in Criminal Justice Policy,"£10,728","£20,904","£5,364","£10,452"
MSc in Culture and Society,"£13,536","£20,904","£6,768","£10,452"
D,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Data Science,"£26,976","£27,504","£13,488","£13,752"
MSc in Development Management,"£20,904","£20,904","£10,452","£10,452"
MSc in Development Studies,"£13,536","£20,904","£6,768","£10,452"
E,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Econometrics and Mathematical Economics,"£26,976","£27,504",N/A,N/A
MSc in Economic History (Both streams),"£13,536","£20,904","£6,768","£10,452"
MSc in Economics,"£26,976","£27,504",N/A,N/A
MSc in Economics (Two Year Programme),See Two Year Programme,,N/A,N/A
MSc in Economics and Management,"£26,976","£27,504",N/A,N/A
MSc in Economics and Philosophy,"£20,904","£20,904","£10,452","£10,452"
"MSc in Economy, Risk and Society","£13,536","£20,904","£6,768","£10,452"
"MSc in Empires, Colonialisation and Globalisation","£13,536","£20,904","£6,768","£10,452"
MSc in Environment and Development,"£13,536","£20,904","£6,768","£10,452"
MSc in Environmental Economics and Climate Change,"£13,536","£20,904","£6,768","£10,452"
MSc in Environmental Policy and Regulation,"£13,536","£20,904","£6,768","£10,452"
MSc in EU Politics,"£20,904","£20,904","£10,452","£10,452"
MPA in European Public and Economic Policy,See Double Degrees Section,,N/A,N/A
MSc in European Studies (Research),"£20,904","£20,904","£10,452","£10,452"
LSE-Sciences Po Double Degree in European Studies,See Double Degrees Section,,N/A,N/A
F,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Finance (Full Time),"£34,200","£34,200",N/A,N/A
MSc in Finance and Economics,"£26,976","£27,504",N/A,N/A
MSc in Finance and Private Equity,"£34,200","£34,200",N/A,N/A
MSc in Financial Mathematics,"£26,976","£27,504",N/A,N/A
G,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Gender (All streams),"£13,536","£20,904","£6,768","£10,452"
"MSc in Gender, Development and Globalisation","£13,536","£20,904","£6,768","£10,452"
"MSc in Gender, Media and Culture","£13,536","£20,904","£6,768","£10,452"
"MSc in Gender, Policy and Inequalities","£13,536","£20,904","£6,768","£10,452"
MSc in Global Europe: Culture and Conflict,"£20,904","£20,904","£10,452","£10,452"
MSc in Global Health,"£17,384","£24,440","£8,692","£12,220"
MSc in Global Media and Communications,See Double Degrees Section,,N/A,N/A
MSc in Global Population Health,"£13,536","£20,904","£6,768","£10,452"
Global MSc in Management,See Two Year Programme,,N/A,N/A
MSc in Global Politics,"£22,440","£22,440","£11,220","£11,220"
MA in Global Studies: A European Perspective,See Double Degrees Section,,N/A,N/A
H,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Health and International Development,"£13,536","£20,904","£6,768","£10,452"
"MSc in Health Policy, Planning and Financing",See How to Apply on the London School of Hygiene & Tropical,,,
,Medicine website,,,
MSc in History of International Relations,"£13,536","£20,904","£6,768","£10,452"
MSc in Human Geography and Urban Studies (Research),"£13,536","£20,904","£6,768","£10,452"
MSc in Human Resources and Organisations,"£22,440","£22,440",N/A,N/A
MSc in Human Resources and Organisations (HRM Specialism),"£23,448","£23,448","£11,724","£11,724"
MSc in Human Rights,"£15,384","£22,440","£7,692","£11,220"
I,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
Double MSc Degree in International Affairs,See Double Degrees Section,,N/A,N/A
Double Degree in International and World History,See Double Degrees Section,,N/A,N/A
MPA in International Development,See Double Degrees Section,,N/A,N/A
MSc in Inequalities and Social Science,"£13,536","£20,904","£6,768","£10,452"
MSc in International Development and Humanitarian Emergencies,"£13,536","£20,904","£6,768","£10,452"
MSc in International Health Policy (All streams),"£16,392","£23,448","£8,196","£11,724"
MSc in International Migration and Public Policy,"£20,904","£20,904","£10,452","£10,452"
MSc in International Political Economy (Both streams),"£22,440","£22,440","£11,220","£11,220"
MSc in International Relations (Both streams),"£22,440","£22,440","£11,220","£11,220"
