Course Name,Median Salary,Department,Salary Category,Simple Department
Geographic Data Science,35000,Department of Geography and Environment,High,Geography and Environment
Economy and Society,28000,Department of Sociology,Low,Sociology
Media and Communications ,30000,Department of Media and Communications,Low,Media and Communications
"Double Degree with Peking University: Environmental Policy, Technology and Health",35000,Department of Geography and Environment,High,Geography and Environment
"Health Policy, Planning and Financing",38000,Department of Health Policy,High,Health Policy
European and International Politics and Policy,30000,European Institute,Low,European Institute
Social and Cultural Psychology,33000,Department of Psychological and Behavioural Science,Low,Psychological and Behavioural Science
Media and Communications ,30000,Department of Media and Communications,Low,Media and Communications
Political Economy of Late Development,42000,Department of Economic History,High,Economic History
Financial Mathematics,39500,Department of Mathematics,High,Mathematics
Diploma in Accounting and Finance,35000,Department of Accounting,High,Accounting
"Accounting, Organisations and Institutions",35000,Department of Accounting,High,Accounting
Philosophy and Public Policy,34500,Department of Philosophy Logic and Scientific Method,High,Philosophy Logic and Scientific Method
Operations Research & Analytics,39500,Department of Mathematics,High,Mathematics
International Relations ,32000,Department of International Relations,Low,International Relations
Local Economic Development,35000,Department of Geography and Environment,High,Geography and Environment
Social Anthropology ,28000,Department of Anthropology,Low,Anthropology
LSE-Sciences Po Double Degree in European Studies,30000,European Institute,Low,European Institute
Applied Social Data Science,48000,Department of Methodology,High,Methodology
International Political Economy ,32000,Department of International Relations,Low,International Relations
Human Rights and Politics,28000,Department of Sociology,Low,Sociology
Anthropology and Development,28000,Department of Anthropology,Low,Anthropology
Social Research Methods,48000,Department of Methodology,High,Methodology
Inequalities and Social Science,28000,Department of Sociology,Low,Sociology
Applicable Mathematics,39500,Department of Mathematics,High,Mathematics
International Migration and Public Policy,30000,European Institute,Low,European Institute
International Health Policy ,38000,Department of Health Policy,High,Health Policy
Political Science ,34000,Department of Government,Low,Government
International Health Policy,38000,Department of Health Policy,High,Health Policy
LSE-Sciences Po Double Degree in Affaires Internationales,32000,Department of International Relations,Low,International Relations
International Relations,32000,Department of International Relations,Low,International Relations
Accounting and Finance,35000,Department of Accounting,High,Accounting
Sociology,28000,Department of Sociology,Low,Sociology
Environment and Development,35000,Department of Geography and Environment,High,Geography and Environment
"LSE-Columbia Double Degree in European Politics, Conflict and Culture",30000,European Institute,Low,European Institute
Social and Public Communication,33000,Department of Psychological and Behavioural Science,Low,Psychological and Behavioural Science
Gender,33000,Department of Gender Studies,Low,Gender Studies
Gender ,33000,Department of Gender Studies,Low,Gender Studies
Human Rights,28000,Department of Sociology,Low,Sociology
International Development and Humanitarian Emergencies,32000,Department of International Development,Low,International Development
International Political Economy,32000,Department of International Relations,Low,International Relations
Social Anthropology,28000,Department of Anthropology,Low,Anthropology
Culture and Society,28000,Department of Sociology,Low,Sociology
Real Estate Economics and Finance,35000,Department of Geography and Environment,High,Geography and Environment
Media and Communications,30000,Department of Media and Communications,Low,Media and Communications
LSE-Sciences Po Double Degree in the Political Economy of Development,32000,Department of International Development,Low,International Development
"Gender, Policy and Inequalities",33000,Department of Gender Studies,Low,Gender Studies
Development Studies,32000,Department of International Development,Low,International Development
LSE-Bocconi Double Degree in European and International Public Policy and Politics,30000,European Institute,Low,European Institute
Political Science ,34000,Department of Government,Low,Government
Political Theory,34000,Department of Government,Low,Government
Statistics  ,38000,Department of Statistics,High,Statistics
Gender ,33000,Department of Gender Studies,Low,Gender Studies
Philosophy of Economics and the Social Sciences,34500,Department of Philosophy Logic and Scientific Method,High,Philosophy Logic and Scientific Method
Health Data Science,38000,Department of Health Policy,High,Health Policy
LSE-Fudan Double Master's in International Social and Public Policy,30000,Department of Social Policy,Low,Social Policy
"Gender, Peace and Security",33000,Department of Gender Studies,Low,Gender Studies
Media and Communications ,30000,Department of Media and Communications,Low,Media and Communications
China in Comparative Perspective,28000,Department of Anthropology,Low,Anthropology
Development Management,32000,Department of International Development,Low,International Development
Environmental Policy and Regulation,35000,Department of Geography and Environment,High,Geography and Environment
Gender ,33000,Department of Gender Studies,Low,Gender Studies
Statistics ,38000,Department of Statistics,High,Statistics
City Design and Social Science,28000,Department of Sociology,Low,Sociology
Criminal Justice Policy,30000,Department of Social Policy,Low,Social Policy
Political Sociology,28000,Department of Sociology,Low,Sociology
Political Science ,34000,Department of Government,Low,Government
Political Economy of Europe,30000,European Institute,Low,European Institute
Financial History,42000,Department of Economic History,High,Economic History
"Gender, Media and Culture",33000,Department of Gender Studies,Low,Gender Studies
Behavioural Science,33000,Department of Psychological and Behavioural Science,Low,Psychological and Behavioural Science
Economic Policy for International Development,32000,Department of International Development,Low,International Development
Organisational and Social Psychology,33000,Department of Psychological and Behavioural Science,Low,Psychological and Behavioural Science
Statistics,38000,Department of Statistics,High,Statistics
Statistics ,38000,Department of Statistics,High,Statistics
Economic History ,42000,Department of Economic History,High,Economic History
Regulation,34000,Department of Government,Low,Government
Economic History,42000,Department of Economic History,High,Economic History
Statistics ,38000,Department of Statistics,High,Statistics
Statistics  ,38000,Department of Statistics,High,Statistics
Quantitative Methods for Risk Management,38000,Department of Statistics,High,Statistics
Strategic Communications and Society,30000,Department of Media and Communications,Low,Media and Communications
"Media, Communication and Development",30000,Department of Media and Communications,Low,Media and Communications
Public Policy and Administration,64500,Department of Government,High,Government
Philosophy of Science,34500,Department of Philosophy Logic and Scientific Method,High,Philosophy Logic and Scientific Method
Politics and Communication,30000,Department of Media and Communications,Low,Media and Communications
Environmental Economics and Climate Change,35000,Department of Geography and Environment,High,Geography and Environment
Data Science,38000,Department of Statistics,High,Statistics
