Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023,Acceptance Rate 2019,Entrance Rate 2019,Acceptance Rate 2020,Entrance Rate 2020,Acceptance Rate 2021,Entrance Rate 2021,Acceptance Rate 2022,Entrance Rate 2022,Acceptance Rate 2023,Entrance Rate 2023
Afghan,Accounting  ,UG Degree,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,6.0,0.0,0.0,,,1.0,0.0,0.0,,1.0,0.0,0.0,
Afghan,Accounting  ,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,
Afghan,Anthropology ,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,,0.0,,,,,,1.0,0.0
Afghan,Economic  History ,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,,0.0,,1.0,0.0,,,0.0,
Afghan,Economic  History ,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Afghan,Economics  ,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,
Afghan,Economics  ,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,
Afghan,European In.. ,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,
Afghan,Finance  ,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Afghan,Finance  ,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,
Afghan,Gender Stud.. ,PG Taught,2.5,2.5,2.5,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0
Afghan,Geography  and Environ.. ,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,,,,,,,,,0.0,
Afghan,Geography  and Environ.. ,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,6.0,2.5,2.5,0.0,,,,1.0,0.0,1.0,0.0,0.4166666666666667,1.0
Afghan,Government  ,UG Degree,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,,,0.0,
Afghan,Government  ,PG Taught,7.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0
Afghan,Health Policy ,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,,,,,0.0,,,,0.0,
Afghan,International.. ,PG Taught,8.0,2.5,0.0,2.5,2.5,0.0,5.0,2.5,0.0,2.5,0.0,0.0,19.0,0.0,0.0,0.3125,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,
Afghan,International  Relations ,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,,,,,0.0,,0.0,
Afghan,International  Relations ,PG Taught,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,1.0,0.0
Afghan,Law School  ,UG Degree,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,0.0,,1.0,0.0,,,1.0,0.0,0.0,
Afghan,Law School  ,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,,,,0.0,,,,0.0,
Afghan,Management  ,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,,,,,0.0,,0.0,
Afghan,Management  ,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,5.0,2.5,0.0,5.0,2.5,2.5,2.5,0.0,0.0,1.0,0.0,0.0,,0.5,0.0,0.5,1.0,0.0,
Afghan,Mathematics  ,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,
Afghan,Mathematics  ,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,,,,,,,,,1.0,1.0
Afghan,Media and C.. ,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,
Afghan,Methodology ,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,,0.0,,,,,,1.0,0.0
Afghan,"Philosophy,  Logic and S.. ",UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,,,0.0,,,,,,0.0,
Afghan,"Philosophy,  Logic and S.. ",PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,
Afghan,Psychologic.. ,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,
Afghan,School of Pu.. ,PG Taught,5.0,2.5,0.0,2.5,2.5,0.0,2.5,2.5,0.0,5.0,2.5,0.0,2.5,2.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0
Afghan,Social Policy  ,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,
Afghan,Social Policy  ,PG Taught,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,,1.0,0.0,,,0.0,,1.0,0.0
