Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023
Afghan,Accounting  ,UG Degree,0,0,0,2.5,2.5,0,2.5,0,0,2.5,2.5,0,6,0,0
Afghan,Accounting  ,PG Taught,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0
Afghan,Anthropology ,UG Degree,2.5,0,0,2.5,0,0,0,0,0,0,0,0,2.5,2.5,0
Afghan,Economic  History ,UG Degree,2.5,0,0,2.5,0,0,2.5,2.5,0,0,0,0,2.5,0,0
Afghan,Economic  History ,PG Taught,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan,Economics  ,UG Degree,0,0,0,2.5,0,0,2.5,0,0,2.5,0,0,2.5,0,0
Afghan,Economics  ,PG Taught,0,0,0,2.5,0,0,2.5,0,0,2.5,0,0,0,0,0
Afghan,European In.. ,PG Taught,2.5,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,0,0
Afghan,Finance  ,UG Degree,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan,Finance  ,PG Taught,2.5,0,0,0,0,0,2.5,0,0,8,0,0,5,0,0
Afghan,Gender Stud.. ,PG Taught,2.5,2.5,2.5,2.5,2.5,0,2.5,0,0,2.5,2.5,2.5,2.5,2.5,0
Afghan,Geography  and Environ.. ,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
Afghan,Geography  and Environ.. ,PG Taught,2.5,0,0,0,0,0,2.5,2.5,0,2.5,2.5,0,6,2.5,2.5
Afghan,Government  ,UG Degree,2.5,2.5,0,2.5,0,0,2.5,2.5,0,0,0,0,2.5,0,0
Afghan,Government  ,PG Taught,7,0,0,5,0,0,2.5,0,0,2.5,0,0,2.5,2.5,0
Afghan,Health Policy ,PG Taught,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0,0
Afghan,International.. ,PG Taught,8,2.5,0,2.5,2.5,0,5,2.5,0,2.5,0,0,19,0,0
Afghan,International  Relations ,UG Degree,2.5,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0
Afghan,International  Relations ,PG Taught,2.5,0,0,2.5,2.5,0,2.5,0,0,2.5,2.5,0,2.5,2.5,0
Afghan,Law School  ,UG Degree,2.5,0,0,2.5,2.5,0,0,0,0,2.5,2.5,0,2.5,0,0
Afghan,Law School  ,PG Taught,2.5,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0,0
Afghan,Management  ,UG Degree,2.5,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0
