Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
Afghan,Accounting UG Degree 0 0 0 * *,0 * 0,0 * *,0 6 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Economic UG Degree * 0 0 * 0,0 * *,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,Finance UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 8 0,0 5 0,0,,,,,,,,,
,Gender Stud.. PG Taught * * * * *,0 * 0,0 * *,* * *,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 0 0,0 * *,0 * *,0 6 *,*,,,,,,,,,
,Government UG Degree * * 0 * 0,0 * *,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 7 0 0 5 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,International.. PG Taught 8 * 0 * *,0 5 *,0 * 0,0 19 0,0,,,,,,,,,
,International UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * *,0 * 0,0 * *,0 * *,0,,,,,,,,,
,Law School UG Degree * 0 0 * *,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Management UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 5 *,0 5 *,* * 0,0,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Media and C.. PG Taught * * 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught * 0 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 * 0",0 0 0,0 0 0,0 * 0,0,,,,,,,,,
