Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023
Afghan,Accounting,UG Degree,0,0,0,*,*,0,*,0,0,*,*,0,6,0,0
Afghan,Accounting,PG Taught,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Afghan,Anthropology,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Afghan,Economic History,UG Degree,*,0,0,*,0,0,*,*,0,0,0,0,*,0,0
Afghan,Economic History,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan,Economics,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Afghan,Economics,PG Taught,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
Afghan,European Institute,PG Taught,*,0,0,0,0,0,0,0,0,*,*,*,*,0,0
Afghan,Finance,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan,Finance,PG Taught,*,0,0,0,0,0,*,0,0,8,0,0,5,0,0
Afghan,Gender Studies,PG Taught,*,*,*,*,*,0,*,0,0,*,*,*,*,*,0
Afghan,Geography and Environment,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Afghan,Geography and Environment,PG Taught,*,0,0,0,0,0,*,*,0,*,*,0,6,*,*
Afghan,Government,UG Degree,*,*,0,*,0,0,*,*,0,0,0,0,*,0,0
Afghan,Government,PG Taught,7,0,0,5,0,0,*,0,0,*,0,0,*,*,0
Afghan,Health Policy,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Afghan,International Development,PG Taught,8,*,0,*,*,0,5,*,0,*,0,0,19,0,0
Afghan,International Relations,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Afghan,International Relations,PG Taught,*,0,0,*,*,0,*,0,0,*,*,0,*,*,0
Afghan,Law School,UG Degree,*,0,0,*,*,0,0,0,0,*,*,0,*,0,0
Afghan,Law School,PG Taught,*,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Afghan,Management,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Afghan,Management,PG Taught,*,*,0,*,0,0,5,*,0,5,*,*,*,0,0
Afghan,Mathematics,UG Degree,*,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Afghan,Mathematics,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
Afghan,Media and Communications,PG Taught,*,*,0,*,0,0,0,0,0,*,0,0,0,0,0
Afghan,Methodology,PG Taught,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Afghan,"Philosophy, Logic and Scientific Method",UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Afghan,"Philosophy, Logic and Scientific Method",PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
Afghan,Psychological and Behavioural Sciences,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Afghan,School of Public Policy,PG Taught,5,*,0,*,*,0,*,*,0,5,*,0,*,*,0
Afghan,Social Policy,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Afghan,Social Policy,PG Taught,*,0,0,*,*,0,0,0,0,*,0,0,*,*,0
Afghan,Sociology,PG Taught,0,0,0,*,*,*,0,0,0,6,*,*,*,0,0
Afghan,Statistics,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,*,0,0
Afghan,Statistics,PG Taught,*,0,0,0,0,0,0,0,0,*,0,0,*,*,0
Albanian,Accounting,UG Degree,7,0,0,*,0,0,6,*,0,8,*,0,*,0,0
Albanian,Accounting,PG Taught,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*
Albanian,Anthropology,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
Albanian,Anthropology,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
Albanian,Economic History,UG Degree,0,0,0,*,0,0,*,0,0,0,0,0,*,0,0
Albanian,Economic History,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0
Albanian,Economics,UG Degree,5,0,0,6,*,*,*,*,*,*,0,0,*,0,0
Albanian,Economics,PG Taught,*,*,0,*,0,0,*,0,0,*,*,0,*,*,0
Albanian,European Institute,PG Taught,*,0,0,5,*,*,0,0,0,*,0,0,*,*,0
Albanian,Finance,UG Degree,0,0,0,*,0,0,*,0,0,*,*,0,*,0,0
Albanian,Finance,PG Taught,5,*,*,6,0,0,8,0,0,6,*,0,0,0,0
Albanian,Geography and Environment,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Albanian,Geography and Environment,PG Taught,*,0,0,0,0,0,*,*,0,*,*,0,0,0,0
Albanian,Government,UG Degree,*,*,0,*,*,*,*,0,0,*,0,0,*,*,0
Albanian,Government,PG Taught,*,0,0,*,0,0,*,0,0,*,*,0,*,0,0
Albanian,International Development,PG Taught,*,*,*,*,0,0,*,*,0,*,*,*,*,*,*
Albanian,International Relations,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
Albanian,International Relations,PG Taught,*,0,0,0,0,0,*,*,0,*,*,*,*,0,0
Albanian,Law School,UG Degree,*,0,0,*,0,0,8,0,0,*,0,0,*,0,0
Albanian,Law School,PG Taught,*,*,0,*,0,0,*,*,0,*,0,0,*,*,0
Albanian,Management,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,*,*,0
Albanian,Management,PG Taught,6,0,0,*,0,0,*,0,0,*,*,*,*,*,*
Albanian,Mathematics,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,0,0,0
Albanian,Mathematics,PG Taught,0,0,0,0,0,0,*,*,0,*,*,0,*,*,0
Albanian,Media and Communications,PG Taught,0,0,0,0,0,0,*,0,0,*,*,0,*,0,0
Albanian,Methodology,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Albanian,"Philosophy, Logic and Scientific Method",UG Degree,*,0,0,*,0,0,*,0,0,*,*,0,0,0,0
Albanian,"Philosophy, Logic and Scientific Method",PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Albanian,Psychological and Behavioural Sciences,PG Taught,0,0,0,*,*,0,0,0,0,*,0,0,*,0,0
Albanian,School of Public Policy,PG Taught,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*
Albanian,Social Policy,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Albanian,Social Policy,PG Taught,*,0,0,*,*,*,*,0,0,*,0,0,*,0,0
Albanian,Sociology,UG Degree,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
Albanian,Sociology,PG Taught,*,0,0,*,*,*,*,*,0,*,*,*,0,0,0
Albanian,Statistics,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Albanian,Statistics,PG Taught,0,0,0,*,*,*,*,0,0,*,0,0,0,0,0
Algerian,Accounting,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Algerian,Accounting,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Algerian,Economic History,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Algerian,Economic History,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Algerian,Economics,UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,0,0,0
Algerian,Economics,PG Taught,0,0,0,*,*,0,*,0,0,0,0,0,*,0,0
Algerian,European Institute,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Algerian,Finance,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Algerian,Finance,PG Taught,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Algerian,Gender Studies,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
Algerian,Geography and Environment,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*
Algerian,Geography and Environment,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
Algerian,Government,UG Degree,*,*,0,*,0,0,*,0,0,*,0,0,0,0,0
Algerian,Government,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,*,*,*
Algerian,Health Policy,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algerian,International Development,PG Taught,0,0,0,*,*,0,*,*,*,0,0,0,0,0,0
Algerian,International Development,UG Degree,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
Algerian,International Relations,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algerian,International Relations,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Algerian,Law School,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*
Algerian,Management,UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
Algerian,Management,PG Taught,0,0,0,*,0,0,*,0,0,0,0,0,*,*,0
Algerian,Mathematics,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Algerian,Mathematics,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Algerian,Media and Communications,PG Taught,0,0,0,*,*,0,*,*,0,0,0,0,0,0,0
Algerian,"Philosophy, .. Sociology",UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Algerian,"Philosophy, .. Sociology",PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Algerian,Statistics,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
American,Accounting,UG Degree,19,0,0,21,*,0,24,*,*,25,*,0,23,*,0
American,Accounting,PG Taught,25,13,5,14,10,*,9,*,*,8,5,*,14,6,*
American,Anthropology,UG Degree,15,*,0,16,7,*,15,*,*,21,6,0,12,*,0
American,Anthropology,PG Taught,38,21,8,48,27,8,54,39,12,47,29,10,29,19,11
American,Economic History,UG Degree,26,*,*,17,*,*,28,*,*,22,*,*,24,5,*
American,Economic History,PG Taught,32,18,6,41,18,10,41,21,12,32,17,10,31,15,10
American,Economics,UG Degree,73,*,0,104,*,*,117,*,*,101,*,0,102,*,0
American,Economics,PG Taught,139,29,11,112,32,12,127,32,11,93,28,9,88,29,9
American,European Institute,PG Taught,91,48,22,83,60,36,111,57,24,63,36,14,79,51,30
American,Finance,UG Degree,17,6,*,25,7,*,35,*,*,38,8,*,50,6,*
American,Finance,PG Taught,86,10,8,70,9,*,59,10,*,52,9,*,68,5,*
American,Gender Studies,PG Taught,103,49,20,95,49,20,100,49,24,68,34,20,72,45,24
American,Geography and Environment,UG Degree,16,0,0,23,*,*,42,*,0,36,*,0,32,*,*
American,Geography and Environment,PG Taught,185,65,28,184,80,29,253,94,34,174,76,39,230,100,42
American,Government,UG Degree,131,*,*,116,9,*,170,*,*,123,10,*,118,12,5
American,Government,PG Taught,234,74,41,223,79,32,280,88,46,200,71,33,148,62,34
American,Health Policy,PG Taught,60,37,15,77,56,25,97,63,40,79,48,25,73,41,24
American,International Development,PG Taught,218,82,44,240,112,61,227,106,60,202,100,59,213,100,56
American,International History,UG Degree,34,*,*,55,9,*,46,*,*,66,12,*,56,8,5
American,International History,PG Taught,89,60,39,68,45,41,119,63,37,85,55,41,79,44,42
American,International Relations,UG Degree,49,7,*,62,13,*,69,*,0,50,7,*,49,10,*
American,International Relations,PG Taught,293,72,35,226,85,32,266,64,32,218,67,36,224,92,44
American,Language C..,UG Degree,18,0,0,19,5,*,28,9,*,12,5,0,21,*,*
American,Law School,UG Degree,59,7,*,53,9,*,68,7,*,64,*,0,73,7,*
American,Law School,PG Taught,29,12,*,30,9,*,39,9,*,29,13,6,23,9,*
American,Management,UG Degree,28,*,*,41,*,0,35,*,0,58,*,0,39,*,0
American,Management,PG Taught,195,64,33,172,62,30,156,60,28,100,43,22,121,40,21
American,Mathematics,UG Degree,27,*,*,28,*,*,42,*,*,36,0,0,54,*,0
American,Mathematics,PG Taught,36,12,*,28,8,*,23,6,0,28,6,*,26,7,*
American,Media and Communications,PG Taught,175,82,44,181,83,44,213,97,47,145,72,40,134,67,34
American,Methodology,PG Taught,50,13,7,66,23,*,52,23,15,48,17,6,51,16,9
American,"Philosophy, Logic and Scientific Method",UG Degree,85,9,*,92,7,*,107,0,0,93,7,*,112,7,*
American,"Philosophy, Logic and Scientific Method",PG Taught,34,11,*,51,18,9,56,22,14,45,24,11,36,21,12
American,Psychological and Behavio..,UG Degree,10,*,0,23,6,0,22,*,0,20,0,0,20,*,*
American,Psychological and Behavio..,PG Taught,125,41,23,125,38,22,148,51,22,90,38,28,120,51,32
American,School of Public Policy,PG Taught,130,60,23,99,38,9,130,55,21,100,47,15,133,56,16
American,Social Policy,UG Degree,53,*,*,46,5,0,83,*,*,60,*,0,58,*,*
American,Social Policy,PG Taught,144,52,35,97,48,21,121,60,26,103,54,28,88,40,21
American,Sociology,UG Degree,6,0,0,9,0,0,11,*,0,8,0,0,10,*,*
American,Sociology,PG Taught,182,77,39,181,100,40,239,86,42,156,62,28,142,68,35
American,Statistics,UG Degree,11,*,0,20,*,0,26,*,0,28,*,0,33,*,*
American,Statistics,PG Taught,93,11,*,55,8,*,68,6,*,47,10,*,50,8,5
Andorran,Gender Studies,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Andorran,Government,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorran,International Development,UG Degree,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
Andorran,Law School Management,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Andorran,Law School Management,PG Taught,0,0,0,0,0,0,*,0,0,*,*,0,0,0,0
Andorran,Sociology,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Angolan,Anthropology,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,*,*,0
Angolan,Economic Hi.. Economics,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Economic Hi.. Economics,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Angolan,Finance,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
