Unnamed: 0,Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,Afghan,Accounting UG Degree PG Taught,UG Degree,0,0,0,*,*,0,*,0,0,*,*,0,6,0,0
1,Afghan,Accounting UG Degree PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
2,Afghan,Anthropology UG Degree,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0
3,Afghan,Economic UG Degree History PG Taught,UG Degree,*,0,0,*,0,0,*,*,0,0,0,0,*,0,0
4,Afghan,Economic UG Degree History PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Afghan,Economics UG Degree PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
6,Afghan,Economics UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
7,Afghan,European In.. PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,*,*,*,0,0
8,Afghan,Finance UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Afghan,Finance UG Degree PG Taught,PG Taught,*,0,0,0,0,0,*,0,0,8,0,0,5,0,0
10,Afghan,Gender Stud.. PG Taught,PG Taught,*,*,*,*,*,0,*,0,0,*,*,*,*,*,0
11,Afghan,Geography UG Degree and Environ.. PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
12,Afghan,Geography UG Degree and Environ.. PG Taught,PG Taught,*,0,0,0,0,0,*,*,0,*,*,0,6,*,*
13,Afghan,Government UG Degree PG Taught,UG Degree,*,*,0,*,0,0,*,*,0,0,0,0,*,0,0
14,Afghan,Government UG Degree PG Taught,PG Taught,7,0,0,5,0,0,*,0,0,*,0,0,*,*,0
15,Afghan,Health Policy PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
16,Afghan,International.. PG Taught,PG Taught,8,*,0,*,*,0,5,*,0,*,0,0,19,0,0
17,Afghan,International UG Degree Relations PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
18,Afghan,International UG Degree Relations PG Taught,PG Taught,*,0,0,*,*,0,*,0,0,*,*,0,*,*,0
19,Afghan,Law School UG Degree PG Taught,UG Degree,*,0,0,*,*,0,0,0,0,*,*,0,*,0,0
20,Afghan,Law School UG Degree PG Taught,PG Taught,*,0,0,0,0,0,*,0,0,0,0,0,*,0,0
21,Afghan,Management UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
22,Afghan,Management UG Degree PG Taught,PG Taught,*,*,0,*,0,0,5,*,0,5,*,*,*,0,0
23,Afghan,Mathematics UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,*,*,0,0,0
24,Afghan,Mathematics UG Degree PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
25,Afghan,Media and C.. PG Taught,PG Taught,*,*,0,*,0,0,0,0,0,*,0,0,0,0,0
26,Afghan,Methodology PG Taught,PG Taught,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0
27,Afghan,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
28,Afghan,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
29,Afghan,Psychologic.. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
30,Afghan,School of Pu.. PG Taught,PG Taught,5,*,0,*,*,0,*,*,0,5,*,0,*,*,0
31,Afghan,Social Policy UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
32,Afghan,Social Policy UG Degree PG Taught,PG Taught,*,0,0,*,*,0,0,0,0,*,0,0,*,*,0
33,Afghan,Sociology PG Taught,PG Taught,0,0,0,*,*,*,0,0,0,6,*,*,*,0,0
34,Afghan,Statistics UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,*,0,0
35,Afghan,Statistics UG Degree PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,0,0,*,*,0
36,Albanian,Accounting UG Degree PG Taught,UG Degree,7,0,0,*,0,0,6,*,0,8,*,0,*,0,0
37,Albanian,Accounting UG Degree PG Taught,PG Taught,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*
38,Albanian,Anthropology UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
39,Albanian,Anthropology UG Degree PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
40,Albanian,Economic UG Degree History PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,0,0,0,*,0,0
41,Albanian,Economic UG Degree History PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0
42,Albanian,Economics UG Degree PG Taught,UG Degree,5,0,0,6,*,*,*,*,*,*,0,0,*,0,0
43,Albanian,Economics UG Degree PG Taught,PG Taught,*,*,0,*,0,0,*,0,0,*,*,0,*,*,0
44,Albanian,European In.. PG Taught,PG Taught,*,0,0,5,*,*,0,0,0,*,0,0,*,*,0
45,Albanian,Finance UG Degree PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,*,*,0,*,0,0
46,Albanian,Finance UG Degree PG Taught,PG Taught,5,*,*,6,0,0,8,0,0,6,*,0,0,0,0
47,Albanian,Geography UG Degree and Environ.. PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
48,Albanian,Geography UG Degree and Environ.. PG Taught,PG Taught,*,0,0,0,0,0,*,*,0,*,*,0,0,0,0
49,Albanian,Government UG Degree PG Taught,UG Degree,*,*,0,*,*,*,*,0,0,*,0,0,*,*,0
50,Albanian,Government UG Degree PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,*,*,0,*,0,0
51,Albanian,International.. PG Taught,PG Taught,*,*,*,*,0,0,*,*,0,*,*,*,*,*,*
52,Albanian,International UG Degree Relations PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
53,Albanian,International UG Degree Relations PG Taught,PG Taught,*,0,0,0,0,0,*,*,0,*,*,*,*,0,0
54,Albanian,Law School UG Degree PG Taught,UG Degree,*,0,0,*,0,0,8,0,0,*,0,0,*,0,0
55,Albanian,Law School UG Degree PG Taught,PG Taught,*,*,0,*,0,0,*,*,0,*,0,0,*,*,0
56,Albanian,Management UG Degree PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,*,*,0
57,Albanian,Management UG Degree PG Taught,PG Taught,6,0,0,*,0,0,*,0,0,*,*,*,*,*,*
58,Albanian,Mathematics UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,0,0,0
59,Albanian,Mathematics UG Degree PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,*,*,0,*,*,0
60,Albanian,Media and C.. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,*,*,0,*,0,0
61,Albanian,Methodology PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,*,*,0
62,Albanian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,*,0,0,*,0,0,*,0,0,*,*,0,0,0,0
63,Albanian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
64,Albanian,Psychologic.. PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,*,0,0,*,0,0
65,Albanian,School of Pu.. PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*
66,Albanian,Social Policy UG Degree PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
67,Albanian,Social Policy UG Degree PG Taught,PG Taught,*,0,0,*,*,*,*,0,0,*,0,0,*,0,0
68,Albanian,Sociology UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
69,Albanian,Sociology UG Degree PG Taught,PG Taught,*,0,0,*,*,*,*,*,0,*,*,*,0,0,0
70,Albanian,Statistics UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
71,Albanian,Statistics UG Degree PG Taught,PG Taught,0,0,0,*,*,*,*,0,0,*,0,0,0,0,0
72,Algerian,Accounting UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
73,Algerian,Accounting UG Degree PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
74,Algerian,Economic UG Degree History PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
75,Algerian,Economic UG Degree History PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
76,Algerian,Economics UG Degree PG Taught,UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,0,0,0
77,Algerian,Economics UG Degree PG Taught,PG Taught,0,0,0,*,*,0,*,0,0,0,0,0,*,0,0
78,Algerian,European In.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
79,Algerian,Finance UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
80,Algerian,Finance UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
81,Algerian,Gender Stud.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
82,Algerian,Geography UG Degree and Environ.. PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*
83,Algerian,Geography UG Degree and Environ.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
84,Algerian,Government UG Degree PG Taught,UG Degree,*,*,0,*,0,0,*,0,0,*,0,0,0,0,0
