Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
Afghan,Accounting,,0,0,0,*,*,0,*,0,0,*,*,0,6,0,0
Afghan,Accounting,,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Afghan,Anthropology,,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Afghan,Economic History,,*,0,0,*,0,0,*,*,0,0,0,0,*,0,0
Afghan,Economic History,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan,Economics,,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Afghan,Economics,,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
Afghan,European Institute,,*,0,0,0,0,0,0,0,0,*,*,*,*,0,0
Afghan,Finance,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan,Finance,,*,0,0,0,0,0,*,0,0,8,0,0,5,0,0
Afghan,Gender Studies,,*,*,*,*,*,0,*,0,0,*,*,*,*,*,0
Afghan,Geography and Environment,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Afghan,Geography and Environment,,*,0,0,0,0,0,*,*,0,*,*,0,6,*,*
Afghan,Government,,*,*,0,*,0,0,*,*,0,0,0,0,*,0,0
Afghan,Government,,7,0,0,5,0,0,*,0,0,*,0,0,*,*,0
Afghan,Health Policy,,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Afghan,International Development,,8,*,0,*,*,0,5,*,0,*,0,0,19,0,0
Afghan,International Relations,,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Afghan,International Relations,,*,0,0,*,*,0,*,0,0,*,*,0,*,*,0
Afghan,Law School,,*,0,0,*,*,0,0,0,0,*,*,0,*,0,0
Afghan,Law School,,*,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Afghan,Management,,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Afghan,Management,,*,*,0,*,0,0,5,*,0,5,*,*,*,0,0
Afghan,Mathematics,,*,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Afghan,Mathematics,,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
Afghan,Media and Communications,,*,*,0,*,0,0,0,0,0,*,0,0,0,0,0
Afghan,Methodology,,*,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Afghan,"Philosophy, Logic and Scientific Method",,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Afghan,"Philosophy, Logic and Scientific Method",,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
Afghan,Psychological and Behavioural Sciences,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Afghan,School of Public Policy,,5,*,0,*,*,0,*,*,0,5,*,0,*,*,0
Afghan,Social Policy,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Afghan,Social Policy,,*,0,0,*,*,0,0,0,0,*,0,0,*,*,0
Afghan,Sociology,,0,0,0,*,*,*,0,0,0,6,*,*,*,0,0
Afghan,Statistics,,0,0,0,0,0,0,*,0,0,*,0,0,*,0,0
Afghan,Statistics,,*,0,0,0,0,0,0,0,0,*,0,0,*,*,0
Albanian,Accounting,,7,0,0,*,0,0,6,*,0,8,*,0,*,0,0
Albanian,Accounting,,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*
Albanian,Anthropology,,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
Albanian,Anthropology,,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
Albanian,Economic History,,0,0,0,*,0,0,*,0,0,0,0,0,*,0,0
Albanian,Economic History,,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0
Albanian,Economics,,5,0,0,6,*,*,*,*,*,*,0,0,*,0,0
Albanian,Economics,,*,*,0,*,0,0,*,0,0,*,*,0,*,*,0
Albanian,European Institute,,*,0,0,5,*,*,0,0,0,*,0,0,*,*,0
Albanian,Finance,,0,0,0,*,0,0,*,0,0,*,*,0,*,0,0
Albanian,Finance,,5,*,*,6,0,0,8,0,0,6,*,0,0,0,0
Albanian,Geography and Environment,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Albanian,Geography and Environment,,*,0,0,0,0,0,*,*,0,*,*,0,0,0,0
Albanian,Government,,*,*,0,*,*,*,*,0,0,*,0,0,*,*,0
Albanian,Government,,*,0,0,*,0,0,*,0,0,*,*,0,*,0,0
Albanian,International Development,,*,*,*,*,0,0,*,*,0,*,*,*,*,*,*
Albanian,International Relations,,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
Albanian,International Relations,,*,0,0,0,0,0,*,*,0,*,*,*,*,0,0
Albanian,Law School,,*,0,0,*,0,0,8,0,0,*,0,0,*,0,0
Albanian,Law School,,*,*,0,*,0,0,*,*,0,*,0,0,*,*,0
Albanian,Management,,0,0,0,*,0,0,*,0,0,*,0,0,*,*,0
Albanian,Management,,6,0,0,*,0,0,*,0,0,*,*,*,*,*,*
Albanian,Mathematics,,*,0,0,*,0,0,*,0,0,*,0,0,0,0,0
Albanian,Mathematics,,0,0,0,0,0,0,*,*,0,*,*,0,*,*,0
Albanian,Media and Communications,,0,0,0,0,0,0,*,0,0,*,*,0,*,0,0
Albanian,Methodology,,0,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Albanian,"Philosophy, Logic and Scientific Method",,*,0,0,*,0,0,*,0,0,*,*,0,0,0,0
Albanian,"Philosophy, Logic and Scientific Method",,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Albanian,Psychological and Behavioural Sciences,,0,0,0,*,*,0,0,0,0,*,0,0,*,0,0
Albanian,School of Public Policy,,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*
Albanian,Social Policy,,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Albanian,Social Policy,,*,0,0,*,*,*,*,0,0,*,0,0,*,0,0
Albanian,Sociology,,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
Albanian,Sociology,,*,0,0,*,*,*,*,*,0,*,*,*,0,0,0
Albanian,Statistics,,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Albanian,Statistics,,0,0,0,*,*,*,*,0,0,*,0,0,0,0,0
Algerian,Accounting,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Algerian,Accounting,,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Algerian,Economic History,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Algerian,Economic History,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Algerian,Economics,,*,0,0,0,0,0,*,0,0,*,0,0,0,0,0
Algerian,Economics,,0,0,0,*,*,0,*,0,0,0,0,0,*,0,0
Algerian,European Institute,,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Algerian,Finance,,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Algerian,Finance,,0,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Algerian,Gender Studies,,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
Algerian,Geography and Environment,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*
Algerian,Geography and Environment,,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
Algerian,Government,,*,*,0,*,0,0,*,0,0,*,0,0,0,0,0
Algerian,Government,,0,0,0,0,0,0,*,0,0,0,0,0,*,*,*
Algerian,Health Policy,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algerian,International Development,,0,0,0,*,*,0,*,*,*,0,0,0,0,0,0
Algerian,International Development,,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
Algerian,International Relations,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algerian,International Relations,,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Algerian,Law School,,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*
