Course,Home Fee,Overseas Fee,Level
MSc Accounting and Finance,31584,32208,Postgraduate
"MSc Accounting, Organisations and Institutions",31584,32208,Postgraduate
MSc Anthropology and Development,15816,24456,Postgraduate
MSc Anthropology and Development Management,24456,24456,Postgraduate
MSc Applicable Mathematics,15816,24456,Postgraduate
MSc Applied Social Data Science,31584,32208,Postgraduate
MSc Behavioural Science,24456,24456,Postgraduate
MSc China in Comparative Perspective,15816,24456,Postgraduate
MSc City Design and Social Science,30360,30960,Postgraduate
MSc Comparative Politics (All streams),24456,24456,Postgraduate
MSc Conflict Studies,24456,24456,Postgraduate
MSc Criminal Justice Policy 5,16016,24656,Postgraduate
MSc Culture and Conflict in a Global Europe,24456,24456,Postgraduate
MSc Culture and Society,15816,24456,Postgraduate
MSc Data Science,31584,32208,Postgraduate
MSc Development Management,24456,24456,Postgraduate
MSc Development Studies (All streams),15816,24456,Postgraduate
MSc Econometrics and Mathematical Economics,31584,32208,Postgraduate
MSc Economic Development Policy,15816,24456,Postgraduate
MSc Economic History (All streams),15816,24456,Postgraduate
MSc Economics (12-Month Programme),31584,32208,Postgraduate
MSc Economics and Management,31584,32208,Postgraduate
MSc Economics and Philosophy,24456,24456,Postgraduate
MSc Economy and Society,15816,24456,Postgraduate
"MSc Empires, Colonialism and Globalisation",15816,24456,Postgraduate
MSc Environment and Development,18024,26232,Postgraduate
MSc Environmental Economics and Climate Change,20136,27984,Postgraduate
MSc Environmental Policy and Regulation,18024,26232,Postgraduate
MSc European and International Public Policy,24456,24456,Postgraduate
MSc European Studies (Research),24456,24456,Postgraduate
MSc Finance (Full Time),39984,39984,Postgraduate
MSc Finance and Economics,31584,32208,Postgraduate
MSc Finance and Private Equity,39984,39984,Postgraduate
MSc Financial History,15816,24456,Postgraduate
MSc Financial Mathematics,31584,32208,Postgraduate
MSc Gender (All streams),15816,24456,Postgraduate
"MSc Gender, Development and Globalisation",15816,24456,Postgraduate
"MSc Gender, Media and Culture",15816,24456,Postgraduate
"MSc Gender, Peace and Security",15816,24456,Postgraduate
"MSc Gender, Policy and Inequalities",15816,24456,Postgraduate
MSc Geographic Data Science,24456,24456,Postgraduate
MSc Global Health Policy,20024,28232,Postgraduate
MSc Global Politics,26232,26232,Postgraduate
MSc Health and International Development,15816,24456,Postgraduate
MSc Health Data Science,24456,24456,Postgraduate
"MSc Health Policy, Planning and Financing",,,Postgraduate
MSc History of International Relations,15816,24456,Postgraduate
MSc Human Geography and Urban Studies (Research),15816,24456,Postgraduate
MSc Human Resources and Organisations,26232,26232,Postgraduate
"MSc Human Resources and Organisations (HRM/CIPD and
International Employment Relations streams)",27240,27240,Postgraduate
MSc Human Rights,18024,26232,Postgraduate
MSc Human Rights and Politics,18024,26232,Postgraduate
MSc Inequalities and Social Science,15816,24456,Postgraduate
MSc International and Asian History,15816,24456,Postgraduate
MSc International Development and Humanitarian Emergencies,15816,24456,Postgraduate
MSc International Health Policy,19032,27240,Postgraduate
MSc International Migration and Public Policy,24456,24456,Postgraduate
MSc International Political Economy (Both streams),26232,26232,Postgraduate
MSc International Relations (Both streams),26232,26232,Postgraduate
MSc International Social and Public Policy (All streams) 5,16016,24656,Postgraduate
MSc Local Economic Development,15816,24456,Postgraduate
MSc Management (12-Month Programme) 6,34584,34584,Postgraduate
MSc Management and Strategy,31584,32208,Postgraduate
MSc Management of Information Systems and Digital Innovation,31584,32208,Postgraduate
MSc Marketing,31584,32208,Postgraduate
MSc Media and Communications (All streams),24456,24456,Postgraduate
"MSc Media, Communication and Development",24456,24456,Postgraduate
MSc Operations Research and Analytics,26232,26232,Postgraduate
MSc Organisational and Social Psychology,24456,24456,Postgraduate
MSc Philosophy and Public Policy,24456,24456,Postgraduate
MSc Philosophy of Science,15816,24456,Postgraduate
MSc Philosophy of the Social Sciences,15816,24456,Postgraduate
MSc Political Economy of Europe,24456,24456,Postgraduate
MSc Political Economy of Late Development,15816,24456,Postgraduate
MSc Political Science and Political Economy,24456,24456,Postgraduate
MSc Political Sociology,15816,24456,Postgraduate
MSc Political Theory,24456,24456,Postgraduate
MSc Politics and Communication,24456,24456,Postgraduate
MSc Psychology of Economic Life,18024,24456,Postgraduate
MSc Public Policy and Administration (Both streams),26232,26232,Postgraduate
MSc Quantitative Economic History,15816,24456,Postgraduate
MSc Quantitative Methods for Risk Management,31584,32208,Postgraduate
MSc Real Estate Economics and Finance,27984,27984,Postgraduate
MSc Regional and Urban Planning Studies,15816,24456,Postgraduate
MSc Regulation (Both streams),15816,24456,Postgraduate
MSc Risk and Finance,31584,32208,Postgraduate
MSc Social and Cultural Psychology,15816,24456,Postgraduate
MSc Social and Public Communication,15816,24456,Postgraduate
MSc Social Anthropology (All streams),15816,24456,Postgraduate
MSc Social Innovation and Entrepreneurship 7,33084,33708,Postgraduate
MSc Social Research Methods,15816,24456,Postgraduate
MSc Sociology,15816,24456,Postgraduate
MSc Statistics (including the Research and Social Statistics streams),15816,24456,Postgraduate
MSc Statistics (Financial Statistics,31584,32208,Postgraduate
MSc Strategic Communications,24456,24456,Postgraduate
MSc Theory and History of International Relations,15816,24456,Postgraduate
MSc Urbanisation and Development,15816,24456,Postgraduate
"MSc Global Media and Communications (with USC, Fudan or UCT)",24456,24456,Postgraduate
"Sciences Po-LSE Double Degree in Affaires Internationales and
International Relations / International Political Economy:
MSc International Political Economy or
MSc International Relations",,,Postgraduate
LSE-NUS Double MSc Asian and International History,,,Postgraduate
"LSE-PKU Double MSc Environmental Policy, Technology and
Health:
MSc Environment & Development
MSc Environmental Economics & Climate Change
MSc Environmental Policy & Regulation",,,Postgraduate
"LSE-Sciences Po Double Masters in European Studies:
MSc European and International Public Policy or
MSc Culture and Conflict in a Global Europe or
MSc International Migration and Public Policy or
MSc Political Economy of Europe",,,Postgraduate
LSE-PKU Double MSc International Affairs,,,Postgraduate
LSE-Columbia Double MSc International and World History,,,Postgraduate
"LSE-Sciences Po Double Degree in the Political Economy of
Development (MSc Development Management)",,,Postgraduate
"LSE-PKU Double Degree in Public Administration and Government
(MSc Public Policy and Administration)",,27816,Postgraduate
"LSE-Sciences Po Double MSc Urban Policy:
MSc Local Economic Development or
MSc Regional and Urban Planning Studies or
MSc Urbanisation and Development",,16440,Postgraduate
"MA in Global Studies: A European Perspective (MSc Economic
History)",15816,24456,Postgraduate
Global MSc Management,32584,33208,Postgraduate
MSc Economics,24456,24456,Postgraduate
Executive MSc Behavioural Science,36850,36850,Postgraduate
"Executive MSc Evaluation of Health Care Interventions and
Outcomes in collaboration with NICE",14602,14602,Postgraduate
MSc Finance (Part Time),19992,19992,Postgraduate
Executive Global MSc Management 10,68352,68352,Postgraduate
"Executive MSc Health Economics, Outcomes and Management in
Cardiovascular Sciences",15020,15020,Postgraduate
"Executive MSc Health Economics, Policy and Management",12478,12478,Postgraduate
Executive MSc International Strategy and Diplomacy,30368,30368,Postgraduate
Executive MSc Social Business and Entrepreneurship,33946,33946,Postgraduate
Undergraduate Courses,9250,23330,Undergraduate
