Undergraduate programmes,,,,,,,,,
,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
Undergraduate first degree,,,,,,,,,
Students commencing their degree in 2018 (New entrants),"£9,250","£19,152",,,,,,,
Students who commenced their degree in 2017,"£9,250","£19,152",,,,,,,
Students who commenced their degree between 2014 and 2016,"£9,000","£19,152",,,,,,,
Students who commenced their degree between 2012 and 2013,"£8,500","£19,152",,,,,,,
,,,,,,,,,
General Course,"£19,728","£19,728",,,,,,,
MPhil/ MRes/ PhD programmes,,,,,,,,,
,Full time,,,,,,,,
,Home/ EU 2,Overseas,,,,,,,
Old MPhil/PhD Structure (students starting prior to 2013/14),,,,,,,,,
MPhil/ PhD (second year),"£4,260","£17,904",,,,,,,
MPhil/ PhD (third year),"£3,195","£13,416",,,,,,,
MPhil/ PhD (continuation fee),£720,£720,,,,,,,
New MPhil/PhD structure (students starting from 2013/14),,,,,,,,,
MPhil/ PhD (first year),"£4,260","£17,904",,,,,,,
MPhil/ PhD (second year),"£4,260","£17,904",,,,,,,
MPhil/ PhD (third year),"£4,260","£17,904",,,,,,,
MPhil/ PhD (fourth year),£0,£0,,,,,,,
MPhil/PhD (exceptional registration beyond the fourth year),"£4,260","£17,904",,,,,,,
MRes/PhD (1 + 4) structure (students starting from 2015/16),,,,,,,,,
MRes (first year),"£4,260","£17,904",,,,,,,
PhD (first year),"£4,260","£17,904",,,,,,,
PhD (second year),"£4,260","£17,904",,,,,,,
PhD (third year),"£4,260","£17,904",,,,,,,
PhD (fourth year),£0,£0,,,,,,,
PhD (exceptional registration beyond the fourth year),"£4,260","£17,904",,,,,,,
MRes/PhD (2 + 4) structure (student starting from 2015/16),,,,,,,,,
MRes (first year),"£4,260","£17,904",,,,,,,
MRes (second year),"£4,260","£17,904",,,,,,,
PhD (first year),"£4,260","£17,904",,,,,,,
PhD (second year),"£4,260","£17,904",,,,,,,
PhD (third year),"£4,260","£17,904",,,,,,,
PhD (fourth year),£0,£0,,,,,,,
PhD (exceptional registration beyond the fourth year),"£4,260","£17,904",,,,,,,
,,,,,,,,,
,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
Visiting research students,"£10,824","£20,904",,,,,,,
A,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
Diploma in Accounting and Finance,"£23,928","£23,928",,,,,,,
MSc in Accounting and Finance,"£26,976","£27,504",,,,,,,
"MSc in Accounting, Organisations and Institutions","£26,976","£27,504",,,,,,,
LSE-Sciences Po Double Degree in Affaires Internationales and International Relations/ International,See Double Degrees Section,,,,,,,,
MSc in A frican Development,"£13,536","£20,904",,,,,,,
MSc in Anthropology and Development,"£13,536","£20,904",,,,,,,
MSc in Anthropology and Development Management,"£20,904","£20,904",,,,,,,
MSc in Applicable Mathematics,"£13,536","£20,904",,,,,,,
MSc in Applied Social Data Science,"£26,976","£27,504",,,,,,,
C,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in China in Comparative Perspective,"£13,536","£20,904",,,,,,,
MSc in City Design and Social Science,"£26,976","£27,504",,,,,,,
MSc in Comparative Politics (All streams),"£20,904","£20,904",,,,,,,
MSc in Conflict Studies,"£20,904","£20,904",,,,,,,
MSc in Criminal Justice Policy,"£10,728","£20,904",,,,,,,
MSc in Culture and Society,"£13,536","£20,904",,,,,,,
D,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Data Science,"£26,976","£27,504",,,,,,,
MSc in Development Management,"£20,904","£20,904",,,,,,,
MSc in Development Studies,"£13,536","£20,904",,,,,,,
E,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Econometrics and Mathematical Economics,"£26,976","£27,504",,,,,,,
MSc in Economic History (Both streams),"£13,536","£20,904",,,,,,,
MSc in Economics,"£26,976","£27,504",,,,,,,
MSc in Economics (Two Year Programme),See Two Year Programme,,,,,,,,
MSc in Economics and Management,"£26,976","£27,504",,,,,,,
MSc in Economics and Philosophy,"£20,904","£20,904",,,,,,,
"MSc in Economy, Risk and Society","£13,536","£20,904",,,,,,,
"MSc in Empires, Colonialisation and Globalisation","£13,536","£20,904",,,,,,,
MSc in Environment and Development,"£13,536","£20,904",,,,,,,
MSc in Environmental Economics and Climate Change,"£13,536","£20,904",,,,,,,
MSc in Environmental Policy and Regulation,"£13,536","£20,904",,,,,,,
MSc in EU Politics,"£20,904","£20,904",,,,,,,
MPA in European Public and Economic Policy,See Double Degrees Section,,,,,,,,
MSc in European Studies (Research),"£20,904","£20,904",,,,,,,
LSE-Sciences Po Double Degree in European Studies,See Double Degrees Section,,,,,,,,
F,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Finance (Full Time),"£34,200","£34,200",,,,,,,
MSc in Finance and Economics,"£26,976","£27,504",,,,,,,
MSc in Finance and Private Equity,"£34,200","£34,200",,,,,,,
MSc in Financial Mathematics,"£26,976","£27,504",,,,,,,
G,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Gender (All streams),"£13,536","£20,904",,,,,,,
"MSc in Gender, Development and Globalisation","£13,536","£20,904",,,,,,,
"MSc in Gender, Media and Culture","£13,536","£20,904",,,,,,,
"MSc in Gender, Policy and Inequalities","£13,536","£20,904",,,,,,,
MSc in Global Europe: Culture and Conflict,"£20,904","£20,904",,,,,,,
MSc in Global Health,"£17,384","£24,440",,,,,,,
MSc in Global Media and Communications,See Double Degrees Section,,,,,,,,
MSc in Global Population Health,"£13,536","£20,904",,,,,,,
Global MSc in Management,See Two Year Programme,,,,,,,,
MSc in Global Politics,"£22,440","£22,440",,,,,,,
MA in Global Studies: A European Perspective,See Double Degrees Section,,,,,,,,
H,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Health and International Development,"£13,536","£20,904",,,,,,,
"MSc in Health Policy, Planning and Financing",See How to Apply on the London School of Hygiene & Tropical,,,,,,,,
,Medicine website,,,,,,,,
MSc in History of International Relations,"£13,536","£20,904",,,,,,,
MSc in Human Geography and Urban Studies (Research),"£13,536","£20,904",,,,,,,
MSc in Human Resources and Organisations,"£22,440","£22,440",,,,,,,
MSc in Human Resources and Organisations (HRM Specialism),"£23,448","£23,448",,,,,,,
MSc in Human Rights,"£15,384","£22,440",,,,,,,
I,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
Double MSc Degree in International Affairs,See Double Degrees Section,,,,,,,,
Double Degree in International and World History,See Double Degrees Section,,,,,,,,
MPA in International Development,See Double Degrees Section,,,,,,,,
MSc in Inequalities and Social Science,"£13,536","£20,904",,,,,,,
MSc in International Development and Humanitarian Emergencies,"£13,536","£20,904",,,,,,,
MSc in International Health Policy (All streams),"£16,392","£23,448",,,,,,,
MSc in International Migration and Public Policy,"£20,904","£20,904",,,,,,,
MSc in International Political Economy (Both streams),"£22,440","£22,440",,,,,,,
MSc in International Relations (Both streams),"£22,440","£22,440",,,,,,,
MSc in International Relations Theory,"£22,440","£22,440",,,,,,,
MSc in International Social and Public Policy 3,"£13,736","£21,104",,,,,,,
L,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
LLM,"£15,384","£22,440",,,,,,,
MSc in Law and Accounting,"£22,440","£22,440",,,,,,,
MSc in Local Economic Development,"£13,536","£20,904",,,,,,,
M,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Management 4,"£29,976","£29,976",,,,,,,
MSc in Management and Strategy,"£26,976","£27,504",,,,,,,
MSc in Management of Information Systems and Digital Innovation,"£26,976","£27,504",,,,,,,
MSc in Marketing,"£26,976","£27,504",,,,,,,
MSc in Media and Communications (All streams),"£20,904","£20,904",,,,,,,
"MSc in Media, Communication and Development","£20,904","£20,904",,,,,,,
O,Full time,,,,,,,,
,Home/ EU,Overseas,,,,,,,
MSc in Operations Research and Analytics,"£22,440","£22,440",,,,,,,
MSc in Organisational and Social Psychology (Both streams),"£20,904","£20,904",,,,,,,
P,Full time,,,,,,,,
