Nationality,EU,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023
Afghan, ,Accounting,UG Degree,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,6.0,0.0,0.0
Afghan, ,Accounting,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Afghan, ,Anthropology,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Afghan, ,Economic History,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Afghan, ,Economic History,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan, ,Economics,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Afghan, ,Economics,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Afghan, ,European Institute,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0
Afghan, ,Finance,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan, ,Finance,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0
Afghan, ,Gender Studies,PG Taught,2.5,2.5,2.5,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0
Afghan, ,Geography And Environment,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Afghan, ,Geography And Environment,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,6.0,2.5,2.5
Afghan, ,Government,UG Degree,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Afghan, ,Government,PG Taught,7.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0
Afghan, ,Health Policy,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Afghan, ,International Development,PG Taught,8.0,2.5,0.0,2.5,2.5,0.0,5.0,2.5,0.0,2.5,0.0,0.0,19.0,0.0,0.0
Afghan, ,International Relations,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Afghan, ,International Relations,PG Taught,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0
Afghan, ,Law School,UG Degree,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0
Afghan, ,Law School,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Afghan, ,Management,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Afghan, ,Management,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,5.0,2.5,0.0,5.0,2.5,2.5,2.5,0.0,0.0
Afghan, ,Mathematics,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0
Afghan, ,Mathematics,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5
Afghan, ,Media And Communications,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Afghan, ,Methodology,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Afghan, ,Philosophy Logic And Scientific Method,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Afghan, ,Philosophy Logic And Scientific Method,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0
Afghan, ,Psychological And Behavioural Science,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan, ,School of Public Policy,PG Taught,5.0,2.5,0.0,2.5,2.5,0.0,2.5,2.5,0.0,5.0,2.5,0.0,2.5,2.5,0.0
Afghan, ,Social Policy,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan, ,Social Policy,PG Taught,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0
Afghan, ,Sociology,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,6.0,2.5,2.5,2.5,0.0,0.0
Afghan, ,Statistics,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Afghan, ,Statistics,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0
Albanian, ,Accounting,UG Degree,7.0,0.0,0.0,2.5,0.0,0.0,6.0,2.5,0.0,8.0,2.5,0.0,2.5,0.0,0.0
Albanian, ,Accounting,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5
Albanian, ,Anthropology,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Albanian, ,Anthropology,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albanian, ,Economic History,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Albanian, ,Economic History,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0
Albanian, ,Economics,UG Degree,5.0,0.0,0.0,6.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0
Albanian, ,Economics,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0
Albanian, ,European Institute,PG Taught,2.5,0.0,0.0,5.0,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0
Albanian, ,Finance,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0
Albanian, ,Finance,PG Taught,5.0,2.5,2.5,6.0,0.0,0.0,8.0,0.0,0.0,6.0,2.5,0.0,0.0,0.0,0.0
Albanian, ,Geography And Environment,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Albanian, ,Geography And Environment,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0
Albanian, ,Government,UG Degree,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0
