Department,2019,2020,2021,2022,2023
Geography & Environment,117,175,177,170,145
"Philosophy, Logic and Scientific Method",64,60,63,66,61
Psychological and Behavioural Science,77,125,152,156,146
Government,106,126,85,100,113
Law,85,118,146,92,117
Social Policy,112,124,116,138,142
Mathematics,53,91,56,64,49
Economic History,49,45,39,38,53
Sociology,45,54,59,57,50
International History,41,43,37,35,32
Statistics,42,63,54,84,94
Management,87,114,108,112,95
International Relations,85,90,91,93,101
Anthropology,36,51,47,57,50
Economics,114,194,139,141,133
Language Centre,Timeout or no results,Timeout or no results,Timeout or no results,Timeout or no results,Timeout or no results
Accounting,22,16,25,30,14
Finance,22,37,33,30,30
Methodology,39,76,58,64,72
School of Public Policy,18,34,50,26,41
European Institute,63,147,86,101,93
Media and Communications,89,125,141,133,137
Health Policy,101,149,178,189,209
International Development,111,127,104,89,80
Gender Studies,19,21,20,18,24
