Country,Nationality,GDP,Population,GDP per Capita,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023,Acceptance Rate 2019,Entrance Rate 2019,Acceptance Rate 2020,Entrance Rate 2020,Acceptance Rate 2021,Entrance Rate 2021,Acceptance Rate 2022,Entrance Rate 2022,Acceptance Rate 2023,Entrance Rate 2023
Austria,Austrian,471400000000,8939617,52732,Accounting  ,UG Degree,7.0,0.0,0.0,6.0,0.0,0.0,2.5,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Austria,Austrian,471400000000,8939617,52732,Accounting  ,PG Taught,8.0,2.5,2.5,5.0,2.5,0.0,5.0,2.5,0.0,10.0,2.5,2.5,2.5,2.5,2.5,0.3125,1.0,0.5,0.0,0.5,0.0,0.25,1.0,1.0,1.0
Austria,Austrian,471400000000,8939617,52732,Anthropology  ,UG Degree,2.5,2.5,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,,
Austria,Austrian,471400000000,8939617,52732,Anthropology  ,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,,0.0,,,
Austria,Austrian,471400000000,8939617,52732,Economic  History ,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,0.5,1.0,0.0,,,,1.0,1.0,0.0,
Austria,Austrian,471400000000,8939617,52732,Economic  History ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0
Austria,Austrian,471400000000,8939617,52732,Economics  ,UG Degree,16.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,9.0,2.5,0.0,0.0,,0.0,,0.0,,0.0,,0.2777777777777778,0.0
Austria,Austrian,471400000000,8939617,52732,Economics  ,PG Taught,12.0,7.0,2.5,9.0,6.0,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5833333333333334,0.35714285714285715,0.6666666666666666,0.4166666666666667,0.35714285714285715,1.0,1.0,1.0,1.0,1.0
Austria,Austrian,471400000000,8939617,52732,European In.. ,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,0.22727272727272727,2.0,0.7142857142857143,0.5,0.5833333333333334,0.35714285714285715,0.6,0.2777777777777778,0.35714285714285715,1.0
Austria,Austrian,471400000000,8939617,52732,Finance  ,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,0.5,0.0,0.0,,0.4166666666666667,1.0,0.5,1.0,0.5,0.5
Austria,Austrian,471400000000,8939617,52732,Finance  ,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,0.125,1.0,0.3333333333333333,0.4166666666666667,0.4090909090909091,0.2777777777777778,0.42857142857142855,0.20833333333333334,0.19230769230769232,1.0
